timestamp_ms,cpu_percent,used_memory_mb
1761618224378,0.00,14444.70
1761618224582,0.00,14518.36
1761618224782,0.00,14577.09
1761618224979,0.00,14577.09
1761618225182,52.26,14577.09
1761618225381,24.84,14596.78
1761618225582,30.19,14604.06
1761618225782,21.66,14604.06
1761618225982,22.50,14604.06
1761618226182,25.93,14604.06
1761618226380,14.65,14604.06
1761618226582,8.07,14586.80
1761618226778,12.74,14591.38
1761618226977,0.00,14592.83
1761618227182,21.63,14593.83
1761618227382,30.63,14591.58
1761618227582,23.75,14586.95
1761618227781,25.00,14590.25
1761618227982,23.27,14592.38
1761618228181,23.90,14590.91
1761618228382,22.64,14585.25
1761618228582,25.31,14584.66
1761618228779,23.23,14587.61
1761618228982,27.61,14589.42
1761618229182,22.44,14581.97
1761618229382,24.38,14583.16
1761618229582,25.62,14583.16
1761618229782,35.00,14583.16
1761618229982,30.77,14597.92
1761618230182,27.16,14594.59
1761618230382,28.93,14598.53
1761618230582,28.75,14596.39
1761618230782,26.58,14590.86
1761618230982,28.03,14585.98
1761618231182,32.52,14588.67
1761618231382,24.53,14604.61
1761618231581,32.91,14606.75
1761618231782,26.25,14602.52
1761618231978,26.45,14596.95
1761618232181,0.00,14610.41
1761618232382,0.00,14608.27
1761618232582,0.00,14615.09
1761618232782,0.00,14615.09
1761618232982,30.59,14615.09
1761618233179,24.03,14615.09
1761618233382,24.24,14709.64
1761618233582,28.66,14706.39
1761618233782,20.13,14706.39
1761618233982,23.13,14706.39
1761618234181,25.79,14706.39
1761618234382,0.00,14706.39
1761618234582,0.00,14724.22
1761618234782,0.00,14727.61
1761618234982,0.00,14727.16
1761618235182,23.85,14735.36
1761618235377,22.37,14753.77
1761618235581,25.15,14756.23
1761618235782,26.99,14765.63
1761618235982,18.87,14788.78
1761618236182,18.24,14828.47
1761618236382,16.88,14839.89
1761618236582,18.75,14839.89
1761618236779,0.00,14839.89
1761618236982,0.00,14897.80
1761618237182,17.61,14989.45
1761618237381,19.88,15104.77
1761618237582,19.38,15167.77
1761618237782,0.00,15194.88
1761618237982,0.00,15216.59
1761618238182,0.00,15219.23
1761618238381,21.17,15230.69
1761618238582,16.56,15238.28
1761618238782,16.88,15241.38
1761618238982,18.24,15240.73
1761618239182,21.47,15239.27
1761618239382,18.87,15242.36
1761618239578,18.71,15250.13
1761618239780,19.50,15249.80
1761618239982,0.00,15251.98
1761618240182,0.00,15254.91
1761618240381,0.00,15254.91
1761618240582,21.09,15253.08
1761618240780,17.72,15260.77
1761618240982,27.78,15302.81
1761618241181,20.13,15301.95
1761618241382,21.74,15299.81
1761618241582,17.50,15299.53
1761618241781,21.38,15300.61
1761618241982,22.98,15310.58
1761618242182,23.57,15309.64
1761618242378,28.93,15309.09
1761618242582,23.13,15308.66
1761618242782,26.25,15311.09
1761618242982,24.38,15306.75
1761618243182,19.14,15302.59
1761618243380,18.06,15302.19
1761618243582,0.00,15302.19
1761618243782,23.27,15302.91
1761618243982,25.31,15311.19
1761618244180,23.90,15309.06
1761618244381,0.00,15306.52
1761618244582,0.00,15306.48
1761618244782,0.00,15309.58
1761618244982,24.65,15314.56
1761618245180,20.13,15310.06
1761618245382,23.90,15308.75
1761618245582,24.05,15305.22
1761618245782,28.75,15299.06
1761618245980,24.38,15310.45
1761618246182,20.00,15308.08
1761618246379,22.44,15310.94
1761618246582,24.22,15325.09
1761618246781,18.87,15324.53
1761618246980,18.35,15324.03
1761618247182,20.00,15321.75
1761618247382,16.46,15385.14
1761618247582,22.09,15460.08
1761618247780,17.20,15531.70
1761618247982,18.29,15272.05
1761618248182,14.74,15289.80
1761618248382,20.00,15205.78
1761618248581,22.15,15189.22
1761618248782,27.88,15210.53
1761618248982,22.01,15213.22
1761618249178,21.02,15209.38
1761618249382,18.13,15208.97
1761618249582,21.12,15208.44
1761618249782,19.88,15207.95
1761618249978,25.81,15209.52
1761618250182,19.02,15216.13
1761618250381,19.38,15215.55
1761618250581,18.99,15215.33
1761618250782,19.88,15214.80
1761618250982,20.00,15218.59
1761618251177,23.87,15214.77
1761618251377,21.60,15226.02
1761618251581,20.37,15225.00
1761618251782,20.75,15224.36
1761618251982,19.50,15224.05
1761618252182,20.50,15223.19
1761618252382,21.25,15222.78
1761618252582,21.52,15219.95
1761618252782,30.82,15235.20
1761618252982,20.75,15240.22
1761618253182,18.87,15247.16
1761618253379,16.56,15262.84
1761618253582,17.18,15262.84
1761618253782,18.24,15346.00
1761618253982,19.38,15345.50
1761618254178,20.38,15346.73
1761618254382,21.47,15353.63
1761618254582,17.72,15353.63
1761618254782,17.50,15353.06
1761618254981,18.13,15352.80
1761618255182,17.50,15352.17
1761618255382,20.75,15355.77
1761618255580,0.00,15358.31
1761618255782,21.63,15356.72
1761618255982,17.61,15356.61
1761618256182,18.13,15356.61
1761618256382,19.62,15356.61
1761618256581,0.00,15356.61
1761618256782,0.00,15356.61
1761618256982,19.58,15339.52
1761618257182,18.13,15339.00
1761618257378,17.76,15338.28
1761618257582,21.69,15341.39
1761618257782,21.12,15355.72
1761618257982,16.03,15363.36
1761618258179,17.09,15362.81
1761618258382,19.14,15362.41
1761618258582,0.00,15365.94
1761618258780,0.00,15365.80
1761618258980,0.00,15372.19
1761618259178,0.00,15374.22
1761618259382,24.50,15376.81
1761618259581,22.01,15374.86
1761618259779,25.62,15376.81
1761618259981,25.32,15382.39
1761618260179,26.42,15391.92
1761618260382,26.54,15389.30
1761618260581,28.93,15393.59
1761618260782,20.89,15394.88
1761618260982,16.98,15394.52
1761618261177,25.64,15390.92
1761618261377,22.64,15390.53
1761618261582,20.61,15389.97
1761618261782,22.15,15388.22
1761618261982,20.63,15394.98
1761618262182,17.09,15394.47
1761618262382,19.25,15385.75
1761618262582,19.50,15385.42
1761618262782,32.08,15387.73
1761618262982,33.54,15398.86
1761618263181,33.54,15397.77
1761618263382,0.00,15400.22
1761618263582,0.00,15399.78
1761618263779,33.54,15399.36
1761618263981,32.72,15394.73
1761618264182,31.68,15394.55
1761618264382,24.05,15394.55
1761618264582,20.00,15394.55
1761618264782,21.25,15390.00
1761618264982,23.75,15388.59
1761618265182,25.62,15388.59
1761618265382,17.61,15388.59
1761618265577,0.00,15388.59
1761618265778,0.00,15388.59
1761618265982,21.92,15402.78
1761618266182,24.84,15408.42
1761618266379,25.00,15411.34
1761618266577,19.50,15411.11
1761618266782,17.79,15410.59
1761618266982,20.63,15413.81
1761618267182,20.00,15403.58
1761618267382,16.88,15403.17
1761618267578,18.95,15406.63
1761618267782,18.56,15406.50
1761618267982,18.87,15410.19
1761618268181,26.11,15421.39
1761618268382,21.74,15423.94
1761618268580,19.87,15422.08
1761618268782,17.68,15421.66
1761618268980,18.59,15421.44
1761618269182,23.78,15420.44
1761618269382,19.62,15406.20
1761618269582,0.00,15406.08
1761618269782,0.00,15405.86
1761618269981,0.00,15405.53
1761618270182,0.00,15405.19
1761618270382,18.80,15404.53
1761618270582,18.13,15404.27
1761618270782,22.01,15403.97
1761618270982,19.38,15403.36
1761618271182,22.36,15403.36
1761618271382,29.75,15403.36
1761618271582,32.48,15406.41
1761618271779,25.16,15409.17
1761618271978,20.25,15407.81
1761618272182,18.01,15407.52
1761618272381,16.77,15407.52
1761618272582,16.46,15407.52
1761618272782,22.36,15414.14
1761618272982,36.08,15471.78
1761618273180,38.13,15464.11
1761618273382,23.46,15463.55
1761618273582,22.78,15463.28
1761618273782,22.50,15462.97
1761618273981,27.67,15500.98
1761618274181,23.13,15500.98
1761618274382,19.38,15500.98
1761618274580,18.35,15500.98
1761618274782,18.75,15505.94
1761618274982,19.62,15505.61
1761618275181,0.00,15496.98
1761618275381,0.00,15491.44
1761618275577,0.00,15490.69
1761618275782,22.38,15489.91
1761618275982,20.00,15489.17
1761618276182,21.74,15489.17
1761618276382,26.58,15489.17
1761618276580,30.38,15489.17
1761618276782,20.99,15489.17
1761618276982,20.75,15486.38
1761618277179,19.75,15479.45
1761618277382,22.36,15481.31
1761618277582,22.98,15479.61
1761618277782,20.63,15479.61
1761618277982,19.38,15478.02
1761618278182,21.52,15469.67
1761618278381,19.50,15473.31
1761618278582,32.50,15480.17
1761618278782,0.00,15479.61
1761618278980,0.00,15488.83
1761618279182,0.00,15483.77
1761618279377,19.09,15483.42
1761618279582,15.43,15483.28
1761618279782,0.00,15482.25
1761618279982,0.00,15484.84
1761618280182,0.00,15480.55
1761618280382,18.28,15479.92
1761618280580,16.67,15479.42
1761618280777,18.24,15479.27
1761618280978,21.12,15480.19
1761618281182,20.99,15477.55
1761618281381,21.74,15477.23
1761618281582,18.87,15476.72
1761618281782,18.13,15480.42
1761618281982,17.61,15480.42
1761618282182,17.72,15480.42
1761618282382,17.61,15464.69
1761618282582,0.00,15475.41
1761618282780,24.06,15477.58
1761618282977,21.52,15477.27
1761618283182,22.56,15472.69
1761618283380,20.38,15475.28
1761618283582,19.25,15475.06
1761618283780,22.29,15474.03
1761618283982,21.47,15473.67
1761618284181,21.52,15453.19
1761618284377,24.36,15459.45
1761618284582,18.40,15458.91
1761618284782,19.50,15458.16
1761618284982,0.00,15461.58
