timestamp_ms,cpu_percent,used_memory_mb
1761618742411,22.46,15617.89
1761618742613,51.88,15617.89
1761618742816,61.25,15704.31
1761618743016,35.40,15707.45
1761618743216,0.00,15723.05
1761618743416,0.00,15722.73
1761618743616,0.00,15722.73
1761618743812,0.00,15722.73
1761618744016,32.54,15737.22
1761618744213,21.94,15740.97
1761618744416,0.00,15739.66
1761618744616,0.00,15739.66
1761618744811,0.00,15739.66
1761618745016,39.53,15799.81
1761618745216,42.77,15820.94
1761618745415,38.99,15820.94
1761618745616,40.37,15820.94
1761618745816,40.63,15820.94
1761618746016,35.90,15820.94
1761618746216,39.51,15947.55
1761618746416,39.74,15999.47
1761618746616,36.88,15999.47
1761618746812,39.24,15999.47
1761618747014,48.41,15999.47
1761618747216,62.42,15999.47
1761618747416,52.83,16035.36
1761618747614,44.38,16049.81
1761618747816,20.25,16048.83
1761618748016,27.95,16053.31
1761618748212,0.00,16056.16
1761618748416,26.73,16056.28
1761618748614,28.48,16058.69
1761618748816,0.00,16061.16
1761618749016,0.00,16063.77
1761618749213,0.00,16060.84
1761618749415,0.00,16057.83
1761618749616,27.48,16058.89
1761618749813,25.00,16060.72
1761618750016,24.84,16058.50
1761618750215,28.48,16058.50
1761618750414,36.48,16058.50
1761618750616,30.63,16058.50
1761618750816,25.93,16087.98
1761618751016,27.50,16089.53
1761618751216,25.16,16092.39
1761618751416,25.48,16090.09
1761618751616,30.63,16089.69
1761618751816,22.01,16085.47
1761618752016,25.77,16084.61
1761618752216,29.94,16085.64
1761618752416,25.00,16080.86
1761618752616,28.05,16085.67
1761618752816,23.87,16081.66
1761618753016,23.57,16078.97
1761618753216,22.56,16080.81
1761618753411,32.26,16079.75
1761618753615,25.62,16081.63
1761618753816,26.38,16081.63
1761618754016,22.98,16086.58
1761618754216,29.75,16082.31
1761618754414,0.00,16082.31
1761618754616,0.00,16082.31
1761618754814,0.00,16082.31
1761618755016,27.43,16082.38
1761618755216,21.52,16081.22
1761618755413,24.05,16081.22
1761618755614,50.63,16081.22
1761618755816,44.17,16081.22
1761618756012,0.00,16081.22
1761618756214,44.90,16054.42
1761618756416,36.02,16063.34
1761618756616,35.63,16063.05
1761618756812,0.00,16059.63
1761618757012,0.00,16055.69
1761618757216,42.20,16062.42
1761618757412,43.87,16063.66
1761618757616,36.65,16151.88
1761618757816,36.20,16179.02
1761618758016,33.97,16176.47
1761618758216,35.63,16182.45
1761618758416,32.91,16180.75
1761618758611,41.67,16179.98
1761618758814,41.72,16235.20
1761618759016,22.50,16096.00
1761618759216,24.84,16092.69
1761618759415,25.32,16089.89
1761618759612,26.28,16089.89
1761618759813,0.00,16089.89
1761618760014,0.00,16089.89
1761618760213,0.00,16089.89
1761618760416,25.31,16093.95
1761618760616,23.13,16093.17
1761618760816,25.62,16094.45
1761618761016,23.60,16103.59
1761618761215,25.95,16100.98
1761618761417,23.27,16098.98
1761618761612,26.28,16100.47
1761618761816,23.31,16099.53
1761618762016,30.63,16099.61
1761618762216,0.00,16100.94
1761618762416,0.00,16099.17
1761618762616,24.22,16099.97
1761618762816,25.48,16100.23
1761618763016,25.62,16100.23
1761618763216,0.00,16100.23
1761618763416,0.00,16100.23
1761618763614,0.00,16100.23
1761618763814,23.98,16116.50
1761618764016,26.71,16112.67
1761618764216,29.11,16113.86
1761618764415,25.48,16113.44
1761618764612,25.00,16119.50
1761618764813,28.22,16121.66
1761618765016,25.00,16118.20
1761618765215,20.78,16115.03
1761618765413,24.84,16115.03
1761618765616,26.09,16115.03
1761618765816,33.33,16115.03
1761618766014,28.30,16115.03
1761618766216,27.61,16104.13
1761618766416,32.70,16107.69
1761618766616,22.93,16110.45
1761618766816,23.60,16108.22
1761618767016,24.05,16099.13
1761618767216,25.32,16100.88
1761618767416,21.25,16099.64
1761618767617,22.98,16101.25
1761618767816,26.71,16100.78
1761618768011,21.43,16099.58
1761618768216,0.00,16097.23
1761618768416,26.71,16099.45
1761618768615,31.65,16096.47
1761618768814,27.50,16100.20
1761618769016,25.15,16096.70
1761618769213,24.36,16096.70
1761618769416,21.74,16091.59
1761618769616,25.00,16089.47
1761618769812,25.32,16085.86
1761618770016,29.01,16085.86
1761618770216,0.00,16085.86
1761618770412,0.00,16085.86
1761618770614,27.25,16120.89
1761618770815,24.69,16120.64
1761618771016,22.36,16122.28
1761618771214,27.10,16119.03
1761618771416,24.38,16121.09
1761618771616,21.38,16117.53
1761618771813,26.75,16116.63
1761618772014,26.71,16117.81
1761618772214,22.78,16117.11
1761618772416,31.71,16112.58
1761618772616,22.78,16112.05
1761618772816,25.32,16106.70
1761618773016,25.31,16110.95
1761618773216,24.84,16114.66
1761618773413,27.22,16119.30
1761618773616,21.74,16118.31
1761618773816,27.04,16119.55
1761618774015,28.48,16115.88
1761618774212,26.75,16117.73
1761618774416,28.57,16114.67
1761618774615,32.91,16114.08
1761618774816,30.86,16114.08
1761618775016,31.41,16106.80
1761618775214,29.88,16109.81
1761618775413,23.57,16109.81
1761618775616,0.00,16109.81
1761618775816,0.00,16109.81
1761618776016,26.05,16101.89
1761618776216,23.60,16099.89
1761618776412,31.01,16102.30
1761618776616,23.46,16106.27
1761618776814,29.75,16104.89
1761618777016,25.31,16103.45
1761618777217,26.58,16099.28
1761618777416,25.79,16101.52
1761618777616,28.75,16099.78
1761618777816,27.95,16096.36
1761618778016,25.00,16097.59
1761618778216,21.25,16099.52
1761618778416,21.12,16101.75
1761618778613,23.23,16102.27
1761618778816,24.54,16118.72
1761618779014,19.75,16127.75
1761618779216,17.90,16174.55
1761618779413,21.43,16299.38
1761618779616,22.70,16239.20
1761618779816,17.28,16242.80
