timestamp_ms,cpu_percent,used_memory_mb
1761618384119,28.83,15488.36
1761618384324,51.55,15534.08
1761618384524,43.21,15554.58
1761618384724,22.78,15566.09
1761618384924,28.93,15569.69
1761618385124,26.58,15569.33
1761618385323,24.84,15569.33
1761618385520,24.84,15577.88
1761618385724,25.15,15578.64
1761618385921,33.12,15574.00
1761618386124,24.54,15579.27
1761618386322,21.15,15579.03
1761618386524,0.00,15582.11
1761618386724,0.00,15581.11
1761618386919,0.00,15581.11
1761618387124,0.00,15581.11
1761618387324,24.34,15581.11
1761618387520,23.23,15581.11
1761618387723,21.34,15585.83
1761618387923,21.38,15585.11
1761618388123,0.00,15587.38
1761618388322,0.00,15584.83
1761618388524,23.48,15586.70
1761618388719,27.85,15586.30
1761618388923,32.10,15677.31
1761618389124,21.60,15676.36
1761618389324,23.75,15668.73
1761618389524,17.72,15631.64
1761618389724,22.50,15631.64
1761618389923,22.01,15633.45
1761618390122,20.89,15635.77
1761618390324,20.63,15635.30
1761618390520,21.29,15635.30
1761618390724,20.73,15635.30
1761618390923,22.50,15640.33
1761618391123,21.02,15640.02
1761618391324,25.31,15642.06
1761618391523,21.88,15649.77
1761618391724,24.84,15695.70
1761618391922,20.92,15694.27
1761618392124,23.93,15695.55
1761618392320,23.72,15698.48
1761618392523,23.31,15698.48
1761618392724,20.75,15698.48
1761618392924,21.88,15698.48
1761618393122,19.75,15698.48
1761618393322,21.02,15693.00
1761618393523,24.39,15690.02
1761618393724,24.22,15694.45
1761618393924,28.13,15694.45
1761618394123,19.62,15694.45
1761618394322,18.87,15700.11
1761618394524,19.75,15699.36
1761618394723,19.62,15698.83
1761618394924,22.36,15697.94
1761618395124,22.93,15699.70
1761618395322,23.13,15700.97
1761618395524,21.12,15700.19
1761618395723,20.63,15699.92
1761618395924,21.74,15698.86
1761618396122,26.62,15713.41
1761618396324,17.39,15713.41
1761618396524,18.01,15712.72
1761618396723,20.75,15712.08
1761618396924,22.36,15712.08
1761618397124,0.00,15712.08
1761618397324,0.00,15712.08
1761618397523,24.53,15712.08
1761618397723,20.50,15722.72
1761618397924,20.89,15726.02
1761618398123,22.15,15729.02
1761618398324,32.92,15733.44
1761618398524,26.88,15733.44
1761618398724,21.74,15738.09
1761618398924,0.00,15745.30
1761618399119,0.00,15744.16
1761618399324,0.00,15744.02
1761618399524,19.97,15747.17
1761618399724,19.62,15746.83
1761618399924,21.74,15744.83
1761618400124,22.50,15742.91
1761618400324,22.98,15741.05
1761618400521,19.11,15744.58
1761618400722,23.27,15745.19
1761618400923,28.57,15803.88
1761618401124,35.40,15785.83
1761618401324,24.20,15785.83
1761618401520,27.22,15785.83
1761618401721,20.89,15785.83
1761618401924,26.38,15779.73
1761618402120,30.32,15779.33
1761618402324,21.21,15774.23
1761618402520,21.94,15768.84
1761618402721,18.24,15767.70
1761618402924,20.99,15770.13
1761618403124,22.01,15773.09
1761618403323,20.50,15772.84
1761618403524,20.63,15759.41
1761618403723,24.53,15757.13
1761618403923,0.00,15757.13
