timestamp_ms,cpu_percent,used_memory_mb,total_memory_mb
1761615895595,5.780,50.805,4096.000
1761615895797,32.919,52.805,4096.000
1761615895999,69.565,52.805,4096.000
1761615896210,66.867,52.805,4096.000
1761615896415,73.171,52.805,4096.000
1761615896622,0.000,52.805,4096.000
1761615896832,0.000,52.805,4096.000
1761615897043,0.000,52.805,4096.000
1761615897248,81.315,52.805,4096.000
1761615897449,79.245,52.805,4096.000
1761615897659,64.072,52.805,4096.000
1761615897863,77.019,52.805,4096.000
1761615898067,65.000,52.805,4096.000
1761615898277,79.412,52.805,4096.000
1761615898481,71.951,52.805,4096.000
1761615898688,77.778,52.805,4096.000
1761615898898,68.824,52.805,4096.000
1761615899104,57.317,52.805,4096.000
1761615899306,72.892,52.805,4096.000
1761615899511,57.500,52.805,4096.000
1761615899715,57.764,52.805,4096.000
1761615899922,58.333,52.805,4096.000
1761615900128,76.829,52.805,4096.000
1761615900332,58.282,54.805,4096.000
1761615900533,57.500,54.805,4096.000
1761615900743,77.059,54.805,4096.000
1761615900950,58.537,54.805,4096.000
1761615901161,73.810,54.805,4096.000
1761615901371,79.762,54.805,4096.000
1761615901575,76.074,54.805,4096.000
1761615901779,70.552,54.805,4096.000
1761615901980,60.625,54.805,4096.000
1761615902183,80.723,54.805,4096.000
1761615902392,56.364,54.805,4096.000
1761615902593,59.877,54.805,4096.000
1761615902800,72.500,54.805,4096.000
1761615903010,74.419,54.805,4096.000
1761615903215,56.364,54.805,4096.000
1761615903424,56.364,54.805,4096.000
1761615903632,75.882,54.805,4096.000
1761615903842,64.458,54.805,4096.000
1761615904045,69.565,54.805,4096.000
1761615904256,69.277,54.805,4096.000
1761615904463,63.473,54.805,4096.000
1761615904673,65.269,54.805,4096.000
1761615904877,84.756,54.805,4096.000
1761615905084,73.333,54.805,4096.000
1761615905297,64.286,54.805,4096.000
1761615905498,76.398,54.805,4096.000
1761615905700,62.195,54.805,4096.000
1761615905902,0.000,54.805,4096.000
1761615906113,0.000,54.805,4096.000
1761615906322,0.000,54.805,4096.000
1761615906528,67.372,54.805,4096.000
1761615906742,58.480,54.805,4096.000
1761615906947,72.050,54.805,4096.000
1761615907149,55.280,54.805,4096.000
1761615907355,69.277,54.805,4096.000
1761615907558,60.123,54.805,4096.000
1761615907768,53.254,54.805,4096.000
1761615907979,52.410,54.805,4096.000
1761615908182,66.667,54.805,4096.000
1761615908386,53.049,54.805,4096.000
1761615908593,56.098,54.805,4096.000
1761615908798,57.407,54.805,4096.000
1761615909003,55.828,54.805,4096.000
1761615909209,70.122,54.805,4096.000
1761615909411,60.123,54.805,4096.000
1761615909616,53.988,54.805,4096.000
1761615909822,52.121,54.805,4096.000
1761615910027,72.121,54.805,4096.000
1761615910233,52.147,54.805,4096.000
1761615910435,54.037,54.805,4096.000
1761615910639,71.341,54.805,4096.000
1761615910840,75.309,54.805,4096.000
1761615911045,75.000,54.805,4096.000
1761615911246,58.385,54.805,4096.000
1761615911452,72.840,54.805,4096.000
1761615911658,62.275,54.805,4096.000
1761615911863,69.939,54.805,4096.000
1761615912068,55.280,54.805,4096.000
1761615912270,56.790,54.805,4096.000
1761615912472,0.000,54.805,4096.000
1761615912674,66.149,54.805,4096.000
1761615912879,55.152,54.805,4096.000
1761615913082,79.268,54.805,4096.000
1761615913283,55.280,54.805,4096.000
1761615913483,79.114,54.805,4096.000
1761615913689,54.819,54.805,4096.000
1761615913894,54.321,54.805,4096.000
1761615914102,64.671,54.805,4096.000
1761615914307,70.122,54.805,4096.000
1761615914513,78.788,54.805,4096.000
1761615914718,57.669,54.805,4096.000
1761615914923,78.659,54.805,4096.000
1761615915128,54.601,54.805,4096.000
1761615915334,62.424,54.805,4096.000
1761615915535,71.429,54.805,4096.000
1761615915740,57.229,56.805,4096.000
1761615915941,56.250,56.805,4096.000
1761615916146,0.000,56.805,4096.000
1761615916352,0.000,56.805,4096.000
1761615916554,0.000,56.805,4096.000
1761615916754,66.308,56.805,4096.000
1761615916961,68.712,56.805,4096.000
1761615917166,61.446,56.805,4096.000
1761615917371,52.500,56.805,4096.000
1761615917578,57.059,56.805,4096.000
1761615917779,74.375,56.805,4096.000
1761615917985,52.439,56.805,4096.000
1761615918186,51.875,56.805,4096.000
1761615918392,71.515,56.805,4096.000
1761615918594,59.509,56.805,4096.000
1761615918800,52.439,56.805,4096.000
1761615919005,52.727,56.805,4096.000
1761615919206,52.830,56.805,4096.000
1761615919412,67.901,56.805,4096.000
1761615919617,52.439,56.805,4096.000
1761615919822,52.439,56.805,4096.000
1761615920027,64.848,56.805,4096.000
1761615920233,56.790,56.805,4096.000
1761615920437,0.000,56.805,4096.000
1761615920642,0.000,56.805,4096.000
1761615920847,62.903,56.805,4096.000
1761615921052,64.596,56.805,4096.000
1761615921258,77.576,56.805,4096.000
1761615921461,58.896,56.805,4096.000
1761615921662,52.830,56.805,4096.000
1761615921863,70.807,56.805,4096.000
1761615922068,65.031,56.805,4096.000
1761615922273,0.000,56.805,4096.000
1761615922479,0.000,56.805,4096.000
1761615922684,0.000,56.805,4096.000
1761615922890,57.751,56.805,4096.000
1761615923091,69.565,56.805,4096.000
1761615923294,60.248,56.805,4096.000
1761615923495,67.702,56.805,4096.000
1761615923701,51.534,56.805,4096.000
1761615923902,52.201,56.805,4096.000
1761615924107,70.833,56.805,4096.000
1761615924312,0.000,56.805,4096.000
1761615924513,0.000,56.805,4096.000
1761615924724,0.000,56.805,4096.000
1761615924927,63.664,56.805,4096.000
1761615925132,72.727,56.805,4096.000
1761615925338,53.374,56.805,4096.000
1761615925539,57.862,56.805,4096.000
1761615925743,68.263,56.805,4096.000
