timestamp_ms,cpu_percent,used_memory_mb,total_memory_mb
1761616204578,4.348,96.805,4096.000
1761616204782,32.927,98.805,4096.000
1761616204988,97.006,98.805,4096.000
1761616205189,100.000,98.805,4096.000
1761616205391,0.000,98.805,4096.000
1761616205601,99.698,98.805,4096.000
1761616205807,98.750,98.805,4096.000
1761616206008,99.387,98.805,4096.000
1761616206212,95.092,98.805,4096.000
1761616206424,87.647,98.805,4096.000
1761616206628,100.000,98.805,4096.000
1761616206832,96.951,98.805,4096.000
1761616207036,98.160,98.805,4096.000
1761616207240,0.000,98.805,4096.000
1761616207453,0.000,98.805,4096.000
1761616207653,97.566,100.805,4096.000
1761616207854,100.000,100.805,4096.000
1761616208066,95.833,100.805,4096.000
1761616208273,96.988,100.805,4096.000
1761616208480,96.386,100.805,4096.000
1761616208685,96.970,100.805,4096.000
1761616208891,98.148,100.805,4096.000
1761616209097,83.030,100.805,4096.000
1761616209299,95.122,100.805,4096.000
1761616209502,0.000,100.805,4096.000
1761616209704,94.462,100.805,4096.000
1761616209912,93.976,100.805,4096.000
1761616210122,93.413,100.805,4096.000
1761616210323,98.160,100.805,4096.000
1761616210531,98.171,100.805,4096.000
1761616210731,95.652,100.805,4096.000
1761616210932,93.168,100.805,4096.000
1761616211136,96.894,100.805,4096.000
1761616211342,89.759,100.805,4096.000
1761616211543,97.500,100.805,4096.000
1761616211748,95.679,100.805,4096.000
1761616211956,97.633,100.805,4096.000
1761616212161,89.571,100.805,4096.000
1761616212371,98.235,100.805,4096.000
1761616212572,87.898,100.805,4096.000
1761616212776,100.000,100.805,4096.000
1761616212981,94.611,100.805,4096.000
1761616213185,93.789,100.805,4096.000
1761616213390,100.000,100.805,4096.000
1761616213597,100.000,100.805,4096.000
1761616213800,98.802,100.805,4096.000
1761616214010,97.590,100.805,4096.000
1761616214219,99.405,100.805,4096.000
1761616214426,98.160,100.805,4096.000
1761616214630,0.000,100.805,4096.000
1761616214837,97.273,100.805,4096.000
1761616215043,95.732,100.805,4096.000
1761616215251,74.706,100.805,4096.000
1761616215455,0.000,100.805,4096.000
1761616215663,0.000,100.805,4096.000
1761616215870,86.842,100.805,4096.000
1761616216073,95.732,100.805,4096.000
1761616216274,95.513,100.805,4096.000
1761616216479,97.619,100.805,4096.000
1761616216687,94.578,100.805,4096.000
1761616216892,93.293,100.805,4096.000
1761616217093,98.148,100.805,4096.000
1761616217299,96.894,100.805,4096.000
1761616217504,98.788,100.805,4096.000
1761616217709,97.546,100.805,4096.000
1761616217913,92.638,100.805,4096.000
1761616218116,93.902,100.805,4096.000
1761616218319,96.226,100.805,4096.000
1761616218522,87.805,100.805,4096.000
1761616218723,87.037,100.805,4096.000
1761616218934,86.747,100.805,4096.000
1761616219136,99.387,100.805,4096.000
1761616219344,88.095,100.805,4096.000
1761616219550,0.000,100.805,4096.000
1761616219756,0.000,100.805,4096.000
1761616219962,95.112,100.805,4096.000
1761616220172,98.225,100.805,4096.000
1761616220375,87.578,100.805,4096.000
1761616220581,98.193,100.805,4096.000
1761616220786,98.182,100.805,4096.000
1761616220992,90.123,100.805,4096.000
1761616221196,94.675,100.805,4096.000
1761616221403,87.117,100.805,4096.000
1761616221611,0.000,100.805,4096.000
1761616221819,0.000,100.805,4096.000
1761616222034,94.048,100.805,4096.000
1761616222236,99.383,100.805,4096.000
1761616222442,0.000,100.805,4096.000
1761616222645,0.000,100.805,4096.000
1761616222849,0.000,100.805,4096.000
1761616223057,97.412,102.805,4096.000
1761616223266,100.000,102.805,4096.000
1761616223473,0.000,102.805,4096.000
1761616223675,0.000,102.805,4096.000
1761616223880,0.000,102.805,4096.000
1761616224083,97.086,102.805,4096.000
1761616224286,94.512,102.805,4096.000
1761616224501,88.166,102.805,4096.000
1761616224704,88.889,102.805,4096.000
1761616224909,92.771,102.805,4096.000
1761616225112,96.250,102.805,4096.000
