threads,phase,iteration,value,unit,mode,benchmark
1,iteration,4,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,5,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,6,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,7,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,8,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,9,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,10,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,warmup,1,38310.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,warmup,2,41940.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,warmup,3,42407.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,warmup,4,39240.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,warmup,5,40270.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,1,41346.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,2,41650.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,3,40088.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,4,40279.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,5,41314.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,6,39719.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,7,39161.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,8,43456.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,9,43665.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,iteration,10,42353.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
1,warmup,1,234.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,warmup,2,231.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,warmup,3,228.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,warmup,4,228.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,warmup,5,228.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,1,227.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,2,227.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,3,230.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,4,236.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,5,230.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,6,232.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,7,227.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,8,226.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,9,226.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,10,227.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
