threads,phase,iteration,value,unit,mode,benchmark
1,iteration,4,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,5,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,6,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,7,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,8,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,9,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
1,iteration,10,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,1,349985.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,2,331548.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,3,225745.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,4,370842.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,5,369679.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,1,370385.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,2,371195.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,3,370891.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,4,370836.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,5,371296.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,6,371494.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,7,371011.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,8,370923.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,9,370905.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,10,371146.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,1,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,2,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,3,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,4,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,5,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,1,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,2,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,3,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,4,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,5,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,6,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,7,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,8,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,9,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,10,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,warmup,1,532364.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,warmup,2,564325.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,warmup,3,549451.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,warmup,4,580206.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,warmup,5,598041.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,1,597122.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,2,597578.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,3,598062.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,4,594099.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,5,583629.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,6,597763.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,7,591722.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,8,596445.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,9,597355.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,iteration,10,597602.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
4,warmup,1,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,warmup,2,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,warmup,3,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,warmup,4,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,warmup,5,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,1,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,2,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,3,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,4,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,5,6.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,6,6.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,7,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,8,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,9,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
4,iteration,10,5.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
8,warmup,1,723115.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,warmup,2,769468.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,warmup,3,757518.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,warmup,4,725800.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,warmup,5,712816.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,1,768350.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,2,735653.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,3,701668.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,4,770035.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,5,770393.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,6,768421.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,7,772025.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,8,771853.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,9,766443.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,iteration,10,763603.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
8,warmup,1,9.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
8,warmup,2,8.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
8,warmup,3,9.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
8,warmup,4,9.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
8,warmup,5,8.000000000,±(99.9%) 0,001 s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
