timestamp_ms,cpu_percent,used_memory_mb,total_memory_mb
1761616839650,0.000,5.906,4096.000
1761616839860,0.000,11.906,4096.000
1761616840065,0.000,13.906,4096.000
1761616840270,0.000,13.906,4096.000
1761616840475,58.239,13.906,4096.000
1761616840681,48.795,13.906,4096.000
1761616840887,25.610,13.906,4096.000
1761616841091,39.877,13.906,4096.000
1761616841292,35.625,13.906,4096.000
1761616841498,37.576,13.906,4096.000
1761616841703,36.585,13.906,4096.000
1761616841907,42.236,13.906,4096.000
1761616842113,0.000,13.906,4096.000
1761616842318,0.000,13.906,4096.000
