timestamp_ms,cpu_percent,used_memory_mb,total_memory_mb
1761615587507,6.548,38.710,4096.000
1761615587713,35.583,6.805,4096.000
1761615587918,60.000,6.805,4096.000
1761615588123,72.393,6.805,4096.000
1761615588329,60.366,6.805,4096.000
1761615588534,47.239,6.805,4096.000
1761615588739,51.235,6.805,4096.000
1761615588945,60.494,6.805,4096.000
1761615589150,47.024,6.805,4096.000
1761615589352,41.139,6.805,4096.000
1761615589557,50.920,8.805,4096.000
1761615589763,47.305,8.805,4096.000
1761615589968,0.000,8.805,4096.000
1761615590173,0.000,8.805,4096.000
1761615590378,48.571,8.805,4096.000
1761615590584,34.356,8.805,4096.000
1761615590789,45.833,8.805,4096.000
1761615590994,30.247,8.805,4096.000
1761615591198,29.448,8.805,4096.000
1761615591404,46.988,8.805,4096.000
1761615591608,28.395,8.805,4096.000
1761615591813,0.000,8.805,4096.000
1761615592018,0.000,8.805,4096.000
1761615592223,0.000,8.805,4096.000
1761615592428,35.976,8.805,4096.000
1761615592633,30.625,8.805,4096.000
1761615592838,50.000,8.805,4096.000
1761615593043,30.061,8.805,4096.000
1761615593249,44.578,8.805,4096.000
1761615593454,38.889,8.805,4096.000
1761615593660,29.878,8.805,4096.000
1761615593865,51.829,8.805,4096.000
1761615594069,28.221,8.805,4096.000
1761615594275,31.138,8.805,4096.000
1761615594480,51.534,8.805,4096.000
1761615594688,39.157,8.805,4096.000
1761615594893,43.636,8.805,4096.000
1761615595099,62.577,8.805,4096.000
1761615595304,55.152,8.805,4096.000
1761615595509,55.280,8.805,4096.000
1761615595714,31.515,8.805,4096.000
1761615595919,53.939,8.805,4096.000
1761615596125,0.000,8.805,4096.000
1761615596328,0.000,8.805,4096.000
1761615596533,37.678,8.805,4096.000
1761615596738,32.716,8.805,4096.000
1761615596943,60.000,8.805,4096.000
1761615597149,29.448,8.805,4096.000
1761615597354,31.928,8.805,4096.000
1761615597559,28.125,8.805,4096.000
1761615597767,50.000,8.805,4096.000
1761615597972,51.220,8.805,4096.000
1761615598177,39.634,8.805,4096.000
1761615598382,50.303,8.805,4096.000
1761615598587,36.420,8.805,4096.000
