timestamp_ms,book_id,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761825141673,16961,669.845,0.25,24.76,4112.52
1761825142293,53782,612.051,0.14,24.76,4112.52
1761825142942,55665,643.979,0.26,25.58,4112.52
1761825143687,34372,740.696,0.22,25.58,4112.52
1761825144310,53332,622.455,0.00,26.36,4112.52
1761825144974,15655,654.482,0.25,26.36,4112.52
1761825145673,38753,693.307,0.47,27.36,4112.52
1761825146312,26985,634.631,0.13,27.63,4112.52
1761825146986,24410,658.720,0.25,28.71,4112.52
1761825147639,59089,648.625,0.13,28.71,4112.52
1761825148309,55426,661.538,0.25,29.06,4112.52
1761825148952,21603,634.520,0.13,29.77,4112.52
1761825149573,20934,618.461,0.14,29.87,4112.52
1761825150284,31021,702.422,0.24,30.56,4112.52
1761825150926,36410,633.592,0.00,30.67,4112.52
1761825151546,53625,617.333,0.14,31.05,4112.52
1761825152192,43965,643.737,0.26,31.85,4112.52
1761825152826,69329,630.937,0.00,31.85,4112.52
1761825153464,45913,628.977,0.26,31.95,4112.52
1761825154102,47370,632.372,0.00,32.63,4112.52
1761825154724,60399,620.166,0.13,32.74,4112.52
1761825155352,48171,621.777,0.27,33.15,4112.52
1761825155996,33149,638.738,0.26,33.95,4112.52
1761825156611,58053,614.060,0.14,33.95,4112.52
1761825157248,324,628.903,0.13,35.03,4112.52
1761825157857,133,607.581,0.14,35.03,4112.52
1761825158474,13131,611.660,0.14,35.25,4112.52
1761825159102,66447,623.764,0.13,36.03,4112.52
1761825159726,68199,621.692,0.27,36.03,4112.52
1761825160342,43608,613.948,0.27,36.83,4112.52
1761825160953,54034,607.912,0.00,36.83,4112.52
1761825161587,27443,629.978,0.27,37.35,4112.52
1761825162217,15724,627.157,0.13,37.45,4112.52
1761825162831,5447,612.714,0.14,38.14,4112.52
1761825163439,66520,605.587,0.14,38.53,4112.52
1761825164049,62749,609.500,0.00,39.31,4112.52
1761825164655,63720,604.173,0.14,39.31,4112.52
1761825165270,45774,614.340,0.27,40.22,4112.52
1761825165879,66677,607.439,0.00,40.22,4112.52
1761825166500,63025,616.829,0.14,40.33,4112.52
1761825167109,51262,606.847,0.14,41.01,4112.52
1761825167738,67859,626.527,0.27,41.65,4112.52
1761825168351,49347,610.417,0.00,41.65,4112.52
1761825168964,37067,612.166,0.14,42.43,4112.52
1761825169574,47807,609.142,0.14,42.43,4112.52
1761825170187,17538,611.980,0.41,43.23,4112.52
1761825170798,32385,609.655,0.00,43.23,4112.52
1761825171411,40119,611.114,0.27,43.74,4112.52
1761825172019,41332,606.869,0.28,44.45,4112.52
1761825172632,57947,612.095,0.41,44.55,4112.52
1761825173242,37272,608.799,0.27,44.55,4112.52
1761825173851,47891,608.084,0.14,45.34,4112.52
1761825174461,68467,608.681,0.14,45.34,4112.52
1761825175072,18302,609.839,0.14,45.84,4112.52
1761825175683,52900,609.942,0.14,46.80,4112.52
1761825176292,22010,607.834,0.28,46.91,4112.52
1761825176899,67369,606.633,0.14,47.59,4112.52
1761825177509,10335,608.657,0.27,47.70,4112.52
1761825178121,54321,608.660,0.14,48.11,4112.52
1761825178729,42105,606.629,0.14,48.90,4112.52
1761825179339,36267,609.226,0.27,48.90,4112.52
1761825179949,17831,609.372,0.14,49.69,4112.52
1761825180566,44574,610.195,0.27,49.69,4112.52
1761825181176,25859,608.838,0.14,49.93,4112.52
1761825181791,43961,613.409,0.27,50.62,4112.52
1761825182402,6788,610.270,0.27,50.72,4112.52
1761825183008,25848,605.484,0.14,51.41,4112.52
1761825183615,68290,606.777,0.41,51.52,4112.52
1761825184227,52370,610.656,0.27,52.03,4112.52
1761825184840,58030,612.452,0.27,52.13,4112.52
1761825185450,20720,608.934,0.14,52.82,4112.52
1761825186060,35535,608.627,0.55,52.93,4112.52
1761825186672,14702,610.711,0.14,53.61,4112.52
1761825187280,6678,607.775,0.41,53.72,4112.52
1761825187892,6559,609.920,0.14,54.12,4112.52
1761825188507,52377,609.600,0.27,55.18,4112.52
1761825189121,60472,612.629,0.27,55.29,4112.52
1761825189732,23308,609.775,0.27,55.97,4112.52
1761825190341,5027,608.456,0.14,56.07,4112.52
1761825190960,15899,616.932,0.27,56.89,4112.52
1761825191569,57306,608.838,0.14,57.00,4112.52
1761825192182,48822,611.207,0.41,57.00,4112.52
1761825192795,50059,611.517,0.14,57.79,4112.52
1761825193407,64736,611.006,0.27,57.79,4112.52
1761825194018,60986,610.188,0.14,58.42,4112.52
1761825194631,18410,611.073,0.41,58.42,4112.52
1761825195242,9328,610.331,0.27,59.22,4112.52
1761825195852,20336,608.563,0.00,59.22,4112.52
1761825196463,9640,609.665,0.41,60.02,4112.52
