term,count,avg_ms,p50_ms,p95_ms
love,2,30612,874,30612,874,30616,153
death,3,30614,193,30615,703,30616,374
science,3,30616,771,30616,647,30617,128
book,3,30616,68,30615,511,30619,022
war,2,30613,975,30613,975,30616,765
